"","Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"1010","Publicaciones Semana",2009,"PublicacionesSemana_2009",NA,"Large","Media","Technology and Communications","Colombia","Latin America & the Caribbean",NA,"non-english"
"1011","Resolute Forest Products",2009,"ResoluteForestProducts_2009",NA,"Large","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"non-english"
"1012","Resona",2009,"Resona_2009",NA,"MNE","Financial Services","Financials","Japan","Asia",NA,"english"
"1013","Rinnai",2009,"Rinnai_2009",NA,"MNE","Energy Utilities","Infrastructure","Japan","Asia",NA,"non-english"
"1014","Riso",2009,"Riso_2009",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"1015","RNB Retail and Brands",2009,"RNBRetailandBrands_2009",NA,"MNE","Textiles and Apparel","Consumer Goods","Sweden","Europe",NA,"non-english"
"1016","Rosy Blue Services",2009,"RosyBlueServices_2009",NA,"Large","Other","Other","Belgium","Europe",NA,"english"
"1017","Royal Bank of Canada (RBC)",2009,"RoyalBankofCanada(RBC)_2009",NA,"MNE","Financial Services","Financials","Canada","Northern America",NA,"non-english"
"1018","RUSAL",2009,"RUSAL_2009",NA,"Large","Metals Products","Extractives and Minerals Processing","Russian Federation","Europe",NA,"non-english"
"1019","Sanden Corporation",2009,"SandenCorporation_2009",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"1020","Sanlam",2009,"Sanlam_2009",NA,"Large","Financial Services","Financials","South Africa","Africa",NA,"non-english"
"1021","Sawafuji",2009,"Sawafuji_2009",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"1022","Scotiabank",2009,"Scotiabank_2009",NA,"MNE","Financial Services","Financials","Canada","Northern America",NA,"english"
"1023","Sega Sammy Holdings",2009,"SegaSammyHoldings_2009",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"1024","Sekisui House",2009,"SekisuiHouse_2009",NA,"Large","Real Estate","Infrastructure","Japan","Asia",NA,"english"
